,year,Price,kms_driven,fuel_type,house
184,2015,5400.0,38000,Diesel,Hyundai
186,2013,3400.0,37000,Diesel,Mahindra
187,2008,750.0,65000,Petrol,Fiat
188,2011,1595.0,38200,Diesel,Skoda
189,2013,18911.11,13000,Petrol,Mini
190,2005,490.0,7500,Petrol,Hyundai
191,2016,7000.0,3350,Petrol,Maruti
192,2000,550.0,60000,Petrol,Maruti
193,2015,4489.99,54000,Petrol,Honda
194,2017,8950.0,32000,Petrol,Hyundai
196,2007,3550.0,75000,Diesel,Mahindra
197,2012,5650.0,62000,Diesel,Mahindra
198,2006,3650.0,73000,Diesel,Toyota
199,2011,1450.0,41000,Petrol,Maruti
200,2011,2100.0,35000,Petrol,Maruti
201,2013,400.0,2200,Petrol,Tata
202,2013,1250.0,39000,Petrol,Maruti
203,2009,1350.0,45000,Petrol,Maruti
204,2006,1350.0,45000,Petrol,Maruti
205,2012,2850.0,65000,Diesel,Tata
207,2010,1450.0,54870,Petrol,Maruti
208,2010,1350.0,34580,Petrol,Maruti
209,2009,4500.0,97000,Diesel,Volkswagen
210,2015,3750.0,25000,Diesel,Renault
211,2013,3750.0,20000,Diesel,Mahindra
212,2014,3650.0,20000,Petrol,Hyundai
213,2015,5000.0,18000,Petrol,Hyundai
214,2012,4000.0,35000,Diesel,Mahindra
215,2019,3900.0,60,Diesel,Mahindra
216,2012,5010.0,35000,Diesel,Renault
217,2013,3300.0,80200,Diesel,Mahindra
218,2015,5800.0,3200,Diesel,Force
219,2012,2650.0,46000,Diesel,Maruti
220,2019,3790.0,0,Diesel,Mahindra
221,2015,2190.0,5000,Petrol,Maruti
222,2018,3850.0,588,Diesel,Mahindra
223,2011,2750.0,36000,Diesel,Toyota
224,2015,3300.0,38000,Diesel,Volkswagen
225,2008,1100.0,45000,Petrol,Honda
226,2006,800.0,71200,Petrol,Maruti
227,2016,5190.0,52000,Diesel,Honda
228,2016,7300.0,29000,Diesel,Mahindra
229,2015,14750.0,47000,Diesel,Mitsubishi
230,2009,6990.0,47000,Petrol,Audi
231,2015,20000.0,20000,Diesel,Mercedes
232,2015,21000.0,30000,Diesel,Land
233,2017,3400.0,5000,Petrol,Renault
234,2014,3900.0,35000,Diesel,Tata
235,2014,14000.0,31000,Petrol,Mercedes
236,2016,2450.0,7000,Petrol,Datsun
237,2016,3200.0,175430,Diesel,Tata
238,2016,3200.0,175400,Diesel,Tata
239,2016,4500.0,41000,Petrol,Honda
240,2014,3110.0,33000,Petrol,Honda
241,2013,2849.99,46000,Diesel,Honda
242,2012,3999.99,45000,Petrol,Honda
243,2015,5999.99,39000,Diesel,Honda
244,2015,3449.99,22000,Petrol,Honda
245,2009,6990.0,47000,Petrol,Audi
246,2015,5800.0,3200,Diesel,Force
247,2015,8550.0,30000,Diesel,Mahindra
248,2015,5350.0,37000,Diesel,Hyundai
249,2013,18911.11,13000,Petrol,Mini
250,2017,6990.0,14000,Petrol,Maruti
251,2013,3750.0,55000,Diesel,Chevrolet
252,2013,2849.99,46000,Diesel,Honda
253,2012,1780.0,30000,Petrol,Hyundai
254,2013,3000.0,50000,Diesel,Tata
255,2003,900.0,45000,Petrol,Maruti
256,2006,950.0,45000,Petrol,Maruti
257,2015,2550.0,9300,Petrol,Maruti
258,2013,2450.0,55000,Diesel,Chevrolet
259,2012,3295.0,36200,Diesel,Hyundai
260,2014,1950.0,50000,Diesel,Ford
261,2015,2511.11,55000,Petrol,Maruti
262,2014,5699.99,45000,Petrol,Maruti
263,2007,699.99,51000,Petrol,Maruti
264,2014,2999.99,19000,Petrol,Maruti
265,2009,2200.0,46000,Petrol,Maruti
266,2013,3999.99,33000,Diesel,Maruti
267,2010,2499.99,36000,Petrol,Maruti
268,2015,2899.99,22000,Petrol,Maruti
269,2013,18911.11,13500,Petrol,Mini
270,2015,4999.99,60000,Diesel,Nissan
271,2013,4899.99,27000,Diesel,Renault
272,2014,4899.99,59000,Diesel,Renault
273,2015,5499.99,19000,Diesel,Renault
274,2013,3800.0,30000,Petrol,Maruti
275,2018,3250.0,15000,Petrol,Renault
276,2003,570.0,56758,Petrol,Maruti
277,2018,3499.99,10000,Petrol,Renault
278,2018,6899.99,20000,Diesel,Renault
279,2014,3499.99,49000,Diesel,Renault
280,2014,4100.0,41000,Petrol,Hyundai
281,2011,2250.0,45000,Petrol,Maruti
282,2010,1200.0,43000,Petrol,Chevrolet
283,2016,3200.0,175430,Diesel,Tata
284,2000,590.0,56450,Petrol,Hyundai
285,2015,5400.0,38000,Diesel,Hyundai
287,2010,800.0,56000,Petrol,Chevrolet
288,2013,3400.0,37000,Diesel,Mahindra
289,2008,750.0,65000,Petrol,Fiat
290,2015,2200.0,32700,Petrol,Chevrolet
291,2011,1595.0,38200,Diesel,Skoda
292,2016,5990.0,30000,Diesel,Ford
293,2006,800.0,56000,Petrol,Hyundai
296,2016,6750.0,9000,Diesel,Mahindra
297,2013,18911.11,13000,Petrol,Mini
298,2013,18911.11,13000,Petrol,Mini
299,2008,1500.0,11000,Petrol,Tata
300,2013,18911.11,13000,Petrol,Mini
301,2009,725.0,46000,Diesel,Tata
302,2019,6100.0,73,Petrol,Maruti
303,2004,2300.0,160000,Diesel,Mahindra
305,2009,1750.0,58559,Petrol,Honda
306,2015,8550.0,30000,Diesel,Mahindra
307,2013,3750.0,55000,Diesel,Chevrolet
308,2014,5200.0,57000,Diesel,Ford
309,2015,5249.99,50000,Diesel,Maruti
310,2014,2999.99,37000,Petrol,Honda
311,2012,2999.99,40000,Petrol,Maruti
312,2011,2849.99,55000,Petrol,Honda
313,2007,2200.0,170000,Diesel,Mahindra
314,2014,4249.99,55000,Diesel,Maruti
315,2015,6449.99,39000,Petrol,Honda
316,2014,3999.99,44000,Petrol,Honda
317,2009,1999.99,65000,Petrol,Toyota
318,2014,5849.99,39000,Petrol,Honda
319,2012,3499.99,44000,Diesel,Skoda
320,2015,4499.99,49000,Diesel,Renault
321,2018,7999.99,9000,Diesel,Maruti
322,2015,4449.99,45000,Diesel,Maruti
323,2014,6499.99,47000,Diesel,Mahindra
324,2012,4449.99,40000,Diesel,Hyundai
325,2016,6899.99,29000,Diesel,Maruti
326,2016,3449.99,15000,Petrol,Maruti
327,2015,9449.99,45000,Diesel,Mahindra
328,2014,2749.99,35000,Petrol,Honda
329,2013,6899.99,80000,Diesel,Mahindra
330,2013,5749.99,68000,Diesel,Mahindra
331,2013,3749.99,50000,Diesel,Skoda
332,2010,1999.99,60000,Diesel,Volkswagen
333,2016,5499.99,9000,Petrol,Hyundai
334,2012,1300.0,72000,Diesel,Tata
335,2013,2100.0,60000,Petrol,Chevrolet
336,2012,5010.0,38000,Diesel,Renault
337,2013,4010.0,45000,Diesel,Hyundai
338,2012,13500.0,40000,Diesel,Audi
339,2013,6000.0,20000,Petrol,Hyundai
340,2013,6100.0,35000,Diesel,Mahindra
341,2016,4000.0,20000,Diesel,Mahindra
342,2015,3750.0,25000,Diesel,Renault
343,2013,3750.0,20000,Diesel,Mahindra
344,2014,3650.0,20000,Petrol,Hyundai
345,2015,5000.0,18000,Petrol,Hyundai
346,2012,4000.0,35000,Diesel,Mahindra
347,2017,5249.99,6821,Petrol,Hyundai
348,2014,4499.99,23000,Petrol,Hyundai
349,2014,1749.99,14000,Petrol,Hyundai
350,2012,2449.99,38000,Petrol,Hyundai
351,2015,5749.99,35000,Diesel,Hyundai
352,2017,2449.99,22000,Petrol,Datsun
353,2011,2399.99,41000,Petrol,Toyota
354,2010,999.99,45000,Petrol,Hyundai
355,2014,4899.99,44000,Diesel,Hyundai
356,2013,3249.99,45000,Diesel,Maruti
357,2011,10749.99,52000,Diesel,Toyota
358,2012,2300.0,34000,Petrol,Hyundai
359,2018,6990.0,1800,Diesel,Mahindra
361,2015,10000.0,15000,Diesel,Mahindra
362,2010,2400.0,400000,Petrol,Honda
363,2009,1100.0,44000,Petrol,Chevrolet
364,2019,3900.0,60,Diesel,Mahindra
365,2012,5010.0,35000,Diesel,Renault
366,2016,11300.0,72000,Diesel,Mahindra
367,2014,2500.0,40000,Diesel,Tata
369,2013,3300.0,80200,Diesel,Mahindra
370,2015,5800.0,3200,Diesel,Force
371,2013,3400.0,48000,Diesel,Skoda
372,2011,1200.0,90000,Diesel,Tata
373,2015,2650.0,12000,Petrol,Maruti
374,2012,2650.0,46000,Diesel,Maruti
375,2003,850.0,69900,Petrol,Maruti
376,2019,3790.0,0,Diesel,Mahindra
377,2011,1750.0,45000,Petrol,Hyundai
378,2015,2190.0,5000,Petrol,Maruti
379,2016,3500.0,166000,Diesel,Maruti
380,2008,1490.0,42000,Petrol,Honda
381,2018,3850.0,588,Diesel,Mahindra
382,2006,4250.0,122,Diesel,Mahindra
383,2017,1500.0,62000,Diesel,Chevrolet
384,2010,2250.0,70000,Petrol,Honda
386,2014,3750.0,36000,Petrol,Hyundai
387,2012,7700.0,0,Diesel,Toyota
389,1995,300.0,55000,Petrol,Maruti
390,2011,2750.0,36000,Diesel,Toyota
391,2015,3300.0,38000,Diesel,Volkswagen
392,2014,3350.0,55000,Diesel,Maruti
393,2015,4500.0,20000,Diesel,Hyundai
394,2012,2250.0,40000,Petrol,Maruti
396,2004,800.0,50000,Petrol,Maruti
397,2016,1300.0,104000,Diesel,Tata
398,2011,2450.0,65000,Diesel,Volkswagen
399,2002,3990.0,41000,Petrol,Mercedes
400,2013,4500.0,90000,Diesel,Maruti
402,2000,650.0,80000,Petrol,Honda
403,2006,750.0,46000,Petrol,Hyundai
404,2001,700.0,70000,Petrol,Maruti
405,2017,1900.0,36469,Diesel,Hyundai
406,2018,6000.0,7800,Petrol,Hyundai
407,2011,2450.0,65000,Diesel,Volkswagen
408,2017,2400.0,60000,Petrol,Maruti
409,2011,1550.0,32000,Petrol,Maruti
410,2009,1699.99,24695,Petrol,Honda
411,2017,4500.0,15141,Petrol,Hyundai
412,2001,400.0,40000,Petrol,Maruti
413,2012,1650.0,65000,Diesel,Mahindra
415,2014,2700.0,22000,Petrol,Maruti
416,2016,2800.0,59910,Diesel,Hyundai
417,2012,5600.0,100000,Diesel,Mahindra
418,2016,9500.0,25000,Petrol,Hyundai
419,2013,3100.0,35000,Petrol,Hyundai
420,2015,7150.0,65000,Diesel,Renault
421,2014,3400.0,35000,Petrol,Hyundai
422,2012,2350.0,33000,Petrol,Honda
423,2017,6100.0,68000,Diesel,Mahindra
424,2010,950.0,23000,Petrol,Chevrolet
425,2018,10000.0,4500,Diesel,Mahindra
426,2015,2200.0,129000,Diesel,Maruti
427,2019,12000.0,300,Diesel,Nissan
428,2015,2300.0,5000,Petrol,Maruti
429,2001,450.0,65000,Petrol,Ford
430,2010,9400.0,131000,Diesel,Toyota
431,2010,1555.55,111111,Petrol,Tata
434,2013,15000.0,14000,Petrol,Mercedes
435,2016,2100.0,22000,Diesel,Chevrolet
436,2013,4950.0,38000,Diesel,Ford
437,2016,1250.0,70000,Diesel,Tata
438,2010,1950.0,36000,Petrol,Hyundai
439,2015,5500.0,34000,Diesel,Volkswagen
440,2015,2700.0,43000,Petrol,Renault
442,2014,5000.0,40000,Diesel,Ford
443,2016,2400.0,160000,Diesel,Honda
444,2017,8000.0,12000,Petrol,Hyundai
445,2011,12990.0,49000,Diesel,BMW
446,2011,5300.0,68000,Petrol,Skoda
447,2013,14990.0,37000,Diesel,Audi
448,2012,2200.0,59466,Diesel,Mahindra
450,2015,9000.0,97200,Diesel,Mahindra
451,2012,2500.0,99000,Diesel,Ford
452,2018,3950.0,25500,Petrol,Maruti
453,2009,1300.0,66000,Petrol,Mahindra
454,2010,320.0,44005,Petrol,Tata
455,2016,5400.0,35000,Diesel,Mahindra
456,2016,5400.0,35000,Diesel,Mahindra
457,2015,4050.0,28000,Petrol,Hyundai
458,2015,4000.0,30000,Petrol,Hyundai
459,2017,7600.0,4000,Petrol,Honda
460,2016,5000.0,28000,Petrol,Maruti
461,2011,1750.0,75000,Petrol,Ford
462,2015,9000.0,97200,Diesel,Mahindra
463,2017,7500.0,3000,Petrol,Honda
464,2015,4190.0,20000,Petrol,Hyundai
465,2004,900.0,50000,Petrol,Maruti
466,2018,1400.0,2110,Petrol,Hyundai
467,2015,15400.0,43222,Petrol,Mitsubishi
468,2008,2750.0,100200,Petrol,Hyundai
469,2003,1500.0,100000,Petrol,Toyota
470,2011,2300.0,65,Petrol,Maruti
471,2015,1230.0,100000,Diesel,Tata
472,2015,9000.0,97200,Diesel,Mahindra
473,2015,9000.0,97200,Diesel,Mahindra
474,2016,3000.0,140000,Diesel,Hyundai
475,2015,4999.99,55000,Petrol,Honda
476,2009,1650.0,48000,Petrol,Hyundai
477,2016,4980.0,22000,Petrol,Maruti
478,2018,4800.0,103553,Diesel,Tata
479,2017,4880.0,80000,Diesel,Maruti
480,2014,2500.0,99000,Diesel,Tata
481,2010,2200.0,58000,Petrol,Toyota
482,2013,2900.0,70000,LPG,Maruti
483,2015,15250.0,120000,Diesel,Toyota
484,2013,5489.0,49800,Diesel,Mahindra
485,2019,6500.0,100,Diesel,Tata
486,2001,550.0,81876,Petrol,Maruti
487,2015,5500.0,75000,Petrol,Maruti
488,2004,900.0,50000,Petrol,Maruti
489,2014,3990.0,44000,Diesel,Honda
490,2016,7300.0,55000,Diesel,Maruti
491,2017,7250.0,36000,Diesel,Maruti
492,2016,1950.0,56000,Diesel,Hyundai
493,2007,1300.0,62000,Petrol,Maruti
494,2015,15250.0,120000,Diesel,Toyota
495,2014,1900.0,6020,Petrol,Maruti
496,2013,2500.0,55700,Diesel,Honda
497,2005,800.0,42000,Petrol,Tata
498,2003,1200.0,50000,Petrol,Hyundai
499,2010,1490.0,35000,Petrol,Maruti
500,2014,2500.0,18500,Petrol,Maruti
501,2007,1200.0,7000,Petrol,Maruti
502,2017,4500.0,11000,Petrol,Honda
504,2003,999.99,53000,Petrol,Maruti
505,2008,1350.0,23000,Petrol,Maruti
506,2016,2250.0,35500,Diesel,Maruti
507,2010,990.0,22134,Petrol,Maruti
508,2019,3700.0,1000,Petrol,Renault
509,2010,520.0,9000,Petrol,Tata
510,2016,28000.0,8500,Petrol,Jaguar
512,2014,1900.0,35000,Petrol,Hyundai
513,2014,4990.0,22000,Petrol,Honda
514,2002,900.0,25000,Diesel,Hindustan
515,2010,1490.0,40000,Petrol,Maruti
516,2017,4000.0,20000,Petrol,Hyundai
517,2016,1200.0,87000,Petrol,Hyundai
518,2015,2500.0,55000,Petrol,Maruti
519,2017,3750.0,23000,Petrol,Maruti
520,2014,3810.0,6000,Petrol,Honda
521,2013,1800.0,65000,Petrol,Maruti
522,2016,5800.0,25000,Diesel,Maruti
523,2015,2780.0,39000,Petrol,Maruti
525,2016,10000.0,8000,Petrol,Hyundai
526,2013,6900.0,75000,Diesel,Mahindra
527,2012,4800.0,51000,Diesel,Maruti
528,2006,850.0,50000,Petrol,Mitsubishi
529,2001,400.0,75000,Petrol,Maruti
530,2015,900.0,55800,Petrol,Maruti
531,2015,3400.0,53000,Petrol,Hyundai
532,2018,2600.0,25000,Petrol,Hyundai
533,2009,2500.0,56400,Petrol,Ford
534,2010,1800.0,72160,Diesel,Maruti
535,2012,3500.0,10000,Diesel,Hyundai
536,2006,900.01,48000,Petrol,Maruti
537,2007,1150.0,36000,Petrol,Maruti
538,2012,15990.0,11500,Diesel,Audi
539,2003,1300.0,133000,Petrol,Maruti
540,2009,1590.0,27000,Petrol,Maruti
541,2009,1600.0,35000,Petrol,Maruti
542,2010,1100.0,55000,Petrol,Maruti
543,2016,4250.0,40000,Petrol,Maruti
544,2019,9000.0,2000,Petrol,Hyundai
545,2009,1500.0,45000,Petrol,Maruti
546,2009,1100.0,20000,Petrol,Hyundai
547,2000,519.99,88000,Petrol,Hyundai
548,2009,1150.0,20000,Petrol,Hyundai
549,2012,2150.0,65422,Diesel,Chevrolet
550,2017,5800.0,10000,Petrol,Ford
551,2013,3800.0,35000,Petrol,Maruti
552,2013,3500.0,117000,Diesel,Hyundai
553,2005,350.0,150000,Diesel,Tata
554,2011,11500.0,72000,Diesel,BMW
555,2010,3000.0,10750,Petrol,Hyundai
556,2009,2690.0,55000,Petrol,Honda
557,2013,600.0,6800,Petrol,Tata
558,2014,4000.0,41000,Diesel,Chevrolet
559,2015,4300.0,73000,Diesel,Hyundai
561,2011,1400.0,65000,Diesel,Maruti
562,2014,85000.03,45000,Diesel,Mahindra
563,2018,12990.0,40000,Diesel,Mahindra
564,2014,1990.0,37000,Petrol,Maruti
565,2006,900.0,55000,Petrol,Hyundai
566,2013,5500.0,140000,Diesel,Force
568,2019,2650.0,9800,Petrol,Maruti
569,2011,1000.0,27000,Petrol,Chevrolet
570,2009,2150.0,27000,Petrol,Hyundai
571,2012,3800.0,20000,Diesel,Toyota
572,2013,4019.19,57923,Diesel,Renault
573,2014,4900.0,30201,Diesel,Chevrolet
574,2017,2800.0,6200,Petrol,Maruti
575,2009,6500.0,37518,Petrol,BMW
576,2014,1600.0,24652,Petrol,Toyota
577,2004,4240.0,383,Diesel,Mahindra
578,2016,2250.0,95000,Diesel,Chevrolet
579,2011,3500.0,35000,Diesel,Chevrolet
580,2015,9500.0,3528,Diesel,Jeep
581,2013,4850.0,52500,Diesel,Maruti
582,2010,2050.0,47900,Diesel,Hyundai
583,2012,1600.0,14000,Petrol,Maruti
584,2018,3100.0,37000,Petrol,Maruti
585,2017,1800.0,90000,Diesel,Tata
586,2013,5499.0,52800,Diesel,Mahindra
587,2016,1500.0,104000,Diesel,Tata
588,2011,1750.0,30000,Petrol,Hyundai
589,2014,950.0,195000,Diesel,Tata
590,2016,2300.0,104000,Diesel,Tata
591,2016,2300.0,104000,Diesel,Tata
592,2004,1800.0,70000,Diesel,Tata
594,2015,4000.0,43000,Diesel,Hyundai
595,2013,1850.0,23000,Petrol,Hyundai
596,2015,3850.0,51000,Diesel,Renault
597,2009,900.0,62000,Petrol,Maruti
598,2010,320.0,48008,Petrol,Tata
600,2013,4350.0,39000,Diesel,Renault
601,2010,2250.0,40000,Petrol,Maruti
602,2006,1897.0,48247,Petrol,Maruti
603,2012,3897.0,39000,Diesel,Maruti
604,2014,3650.0,23000,Petrol,Maruti
605,2017,3600.0,9400,Petrol,Maruti
606,2010,2100.0,50000,Petrol,Hyundai
607,2009,1700.0,75000,Petrol,Hyundai
609,2017,3800.0,70000,Diesel,Tata
610,2009,2950.0,64000,Diesel,Mahindra
611,2010,1850.0,55000,Petrol,Toyota
612,2014,1600.0,200000,Diesel,Tata
615,2018,2900.0,2137,Petrol,Renault
617,2013,1000.0,30000,Diesel,Tata
618,2014,3150.0,44000,Petrol,Maruti
620,2006,1149.9,65000,Diesel,Skoda
621,2012,1200.0,160000,LPG,Maruti
622,2011,1250.0,56000,Diesel,Chevrolet
623,2012,2100.0,75000,Diesel,Tata
625,2018,8550.0,42000,Diesel,Hyundai
626,2012,2100.0,75000,Diesel,Tata
627,2007,2600.0,56000,Diesel,Mahindra
628,2002,950.0,10544,Petrol,Maruti
629,2011,2550.0,64000,Petrol,Maruti
630,2008,3000.0,70000,Diesel,Mahindra
631,2014,3400.0,25000,Petrol,Hyundai
632,2017,5500.0,15000,Petrol,Hyundai
633,2003,600.0,50000,Petrol,Ford
636,2011,7500.0,147000,Diesel,Toyota
637,2011,2300.0,52000,Petrol,Nissan
638,2012,1300.0,90001,Diesel,Chevrolet
639,2017,2700.0,21000,Petrol,Maruti
640,2012,2800.0,48006,Diesel,Maruti
641,2012,2800.0,48006,Diesel,Maruti
642,2012,2800.0,48006,Diesel,Maruti
644,2012,6000.0,80000,Diesel,Toyota
646,2010,1900.0,74000,Diesel,Maruti
